Temp/Freq,100,200,300,500,600,800,1000,1500,2000,3000,5000,7000,9000,10000,15000,20000,30000,40000,50000,60000,70000,90000,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,2000000
299,42.291,11.029,9.989,10.648,11.067,-807022926.234,-644520841.378,-427773930.043,-318880975.503,-209133963.494,-99646866.325,11.056,11.218,11.551,11.494,11.302,10.989,1171.605,10.086,11.325,11.153,1600.997,2137.599,4493.935,3449.154,7.291,7.261,7.066,6.88,6.787,6.725,6.379,6.146,
300,1.35641459163632E+88,1.35641459163632E+88,1.35641459163632E+88,1.35641459163632E+88,1618.181,11.904,9545944.268,11.47,11.426,11.701,11.716,11.804,11.769,11.772,11.635,11.575,11.366,11.135,10.948,10.732,10.599,10.301,10.184,9.274,8.721,8.328,8.052,7.84,7.632,7.533,7.425,7.339,7.068,
301,274.71,62.509,225.582,123.98,37.325,122.694,31.678,26.432,11.085,12.873,13.193,18.489,17.494,17.397,16.689,40.034,85.742,14.634,None,None,None,9.654,11.991,29.77,7.698,11.413,17.602,15.405,14.072,79.25,6.487,7.046,2.981,
302,None,15.485,17.71,175.641,11.87,14.479,38.002,40.195,43.694,52.084,70.38,88.939,2298.812,143.169,246.25,11.913,19.952,10.69,10.485,10.295,None,None,None,None,None,None,None,None,None,None,None,None,None,
303,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.064,13.76,13.493,13.062,9.537,None,9.723,9.641,9.111,7.28,6.873,6.757,6.668,6.593,6.429,
304,None,None,None,None,None,None,None,None,None,None,None,None,17.452,17.198,16.315,15.698,14.947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
305,None,None,None,None,None,None,None,None,None,21.133,19.157,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
306,-34.236,56.511,42.665,35.529,34.971,30.566,28.262,25.127,23.24,21.156,19.202,18.161,17.42,None,16.261,15.713,14.937,14.387,14.027,None,13.439,13.018,12.847,11.68,11.04,10.549,10.165,9.813,9.432,9.051,8.692,8.26,2.981,
307,-159.043,57.365,47.705,37.139,34.542,30.875,28.336,25.169,23.372,21.219,19.237,18.194,17.584,17.263,16.348,15.728,14.937,14.387,14.025,13.706,13.437,13.011,12.843,11.676,11.031,10.55,10.155,9.805,9.425,9.041,8.683,8.252,2.982,
314,None,None,51.657,42.805,39.104,34.262,31.567,27.542,None,22.717,20.331,19.055,18.25,17.984,16.758,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
316,-115.742,9.827,10.496,11.201,12.139,11.12,11.164,11.371,11.441,11.596,11.699,11.735,11.769,11.767,11.682,11.56,11.355,11.131,10.96,10.713,10.608,10.316,10.186,9.272,8.72,8.343,8.054,7.837,7.669,7.534,7.429,7.34,7.069,
317,70.748,11.59,10.106,10.826,10.894,10.957,11.227,11.337,11.436,11.591,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.727,8.336,8.051,7.836,7.667,7.533,7.426,7.336,7.073,
318,None,None,None,None,None,None,None,None,None,None,None,11.759,11.762,11.795,11.704,11.597,11.347,None,10.955,10.782,10.602,10.311,10.182,9.27,8.725,8.335,8.051,7.838,7.667,None,None,None,None,
319,102.404,9.46,11.14,10.433,11.604,10.823,11.242,11.318,11.472,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.427,7.337,None,
320,None,None,None,None,None,None,None,None,None,None,11.684,None,11.753,11.785,11.666,11.588,11.359,11.131,10.957,10.809,10.604,10.313,10.184,None,None,None,None,None,None,None,None,None,None,
321,1.568,10.229,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.718,8.341,8.053,None,7.669,7.534,7.429,7.338,7.069,
322,None,None,None,11.03,10.365,10.906,11.104,11.409,11.436,11.588,11.71,11.751,11.762,11.749,11.662,11.58,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
323,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.139,10.954,10.744,10.603,10.31,None,9.266,8.724,8.333,8.053,7.837,7.668,7.537,7.427,None,None,
324,92.796,9.949,12.244,10.456,11.448,11.175,11.296,11.258,11.469,11.591,11.707,11.772,11.773,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.067,
325,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.735,11.588,11.353,None,10.954,10.801,10.605,10.313,10.182,9.273,8.725,8.339,8.052,7.835,7.666,7.531,7.425,7.336,None,
326,-149.705,10.103,10.429,11.104,11.572,11.333,11.268,11.375,11.426,11.726,11.716,11.793,None,11.77,11.63,11.579,11.358,11.137,10.947,10.739,10.604,10.311,None,None,None,None,None,None,None,None,None,None,None,
327,-65.502,9.617,10.339,10.151,10.691,11.147,11.08,11.323,11.464,11.596,11.759,11.743,None,11.758,11.71,11.578,None,None,None,None,None,None,None,9.269,8.726,8.332,8.05,7.835,7.666,7.531,None,7.335,7.066,
328,170.424,11.599,11.578,10.545,11.601,11.328,11.123,11.402,11.406,11.584,11.735,11.759,11.77,11.76,11.733,11.589,11.36,11.123,10.956,10.778,10.604,10.312,10.181,9.266,8.723,8.334,8.05,7.834,7.665,None,7.425,7.335,7.068,
329,69.717,10.164,12.424,10.932,11.343,11.077,11.212,11.328,11.443,11.573,11.717,11.778,11.743,11.773,11.692,11.58,11.357,11.136,10.948,10.799,10.605,10.308,10.18,9.258,8.714,None,8.047,7.832,7.662,7.528,7.422,7.332,7.062,
330,141.249,12.389,12.028,10.926,11.705,10.954,11.135,11.291,11.482,11.57,11.703,11.773,11.792,11.754,11.668,11.584,11.362,11.135,10.953,None,10.601,10.308,10.178,9.256,8.727,8.33,8.048,7.835,7.663,7.532,7.423,7.333,7.069,
331,-112.24,8.918,11.638,10.595,10.204,11.238,11.118,11.411,11.444,11.601,11.706,11.746,11.764,11.744,None,11.586,11.351,11.138,10.948,10.797,10.599,10.307,10.179,9.278,8.721,8.335,8.045,7.832,7.662,7.531,7.422,7.331,7.062,
332,-130.241,13.01,11.537,11.965,12.245,11.528,11.213,11.348,11.428,11.605,11.754,11.748,None,11.747,11.711,11.592,11.353,11.127,10.947,10.752,10.599,10.307,10.178,9.261,8.717,8.332,8.045,None,7.661,7.53,7.421,7.33,7.061,
333,-53.137,12.336,11.931,11.64,10.791,11.382,11.151,11.394,11.46,11.582,11.702,11.741,11.745,11.752,11.654,11.565,11.357,11.139,10.947,10.748,10.6,10.305,10.177,9.263,None,8.331,8.044,7.83,7.66,7.529,7.419,7.329,7.062,
334,-156.808,8.586,10.655,10.941,11.052,10.951,11.031,11.401,11.407,11.576,11.704,11.763,11.744,11.742,11.676,11.594,11.358,11.106,10.939,10.785,10.594,10.303,10.175,9.252,8.713,8.327,8.042,7.826,7.657,7.526,7.417,7.327,7.058,
335,-17.744,13.692,10.661,11.491,11.49,11.175,11.044,11.228,11.525,None,11.701,11.777,11.75,11.77,11.642,11.585,11.348,11.138,10.943,10.747,10.594,10.301,10.175,9.253,8.721,8.33,8.041,7.828,7.657,7.523,7.416,7.326,7.06,
336,225.364,13.379,8.426,11.016,10.652,10.982,11.325,11.317,11.464,11.592,11.707,11.742,11.77,11.747,11.671,11.561,11.35,11.126,10.945,10.781,10.602,10.299,None,9.259,8.708,8.325,8.039,7.825,7.655,7.525,7.415,7.326,7.056,
337,107.648,14.23,10.811,11.22,10.863,11.1,11.254,11.364,11.44,11.6,11.72,11.742,11.766,11.756,11.676,11.569,11.347,11.117,10.94,10.725,10.591,None,10.17,9.257,8.708,8.326,8.039,7.825,7.654,7.523,7.414,7.325,7.055,
338,-158.84,9.285,11.684,11.684,11.572,11.125,11.311,11.348,None,11.585,11.718,11.76,11.739,11.761,11.673,11.591,11.347,11.123,10.942,10.714,10.589,10.298,10.17,9.26,8.707,8.318,8.036,7.822,7.653,7.517,None,7.323,7.054,
339,-155.123,9.636,12.38,10.664,10.608,10.948,11.294,11.391,11.467,11.587,11.701,11.722,11.796,11.758,11.661,11.565,11.35,11.138,10.934,10.721,10.582,10.293,None,9.245,8.701,8.321,8.035,7.818,7.651,7.517,7.411,7.321,7.052,
340,166.787,13.009,10.164,10.913,11.712,11.011,11.204,11.457,11.467,11.586,11.741,11.752,11.788,11.737,11.665,11.568,11.352,11.113,10.932,10.705,10.584,10.293,10.166,9.246,8.703,8.316,8.033,7.82,7.65,7.517,7.409,7.319,7.05,
341,-137.586,11.789,11.868,12.105,10.878,11.504,11.281,11.376,11.453,11.481,11.734,11.701,None,11.736,11.71,11.573,11.346,11.107,10.935,10.731,10.583,10.292,10.162,9.239,8.703,8.316,8.032,7.819,7.647,7.516,7.407,7.317,7.049,
342,-57.301,11.901,10.261,10.803,10.763,11.425,11.303,11.435,11.444,11.586,11.716,11.754,11.743,11.753,11.738,11.573,11.35,11.121,10.935,10.724,10.583,10.293,10.163,9.235,None,8.311,8.031,None,7.647,7.515,7.407,7.317,7.049,
343,-176.926,10.724,10.311,11.217,10.694,11.208,11.19,11.412,11.5,11.599,11.7,11.764,11.728,11.754,11.587,11.563,11.342,11.119,10.945,10.829,None,10.356,10.248,9.518,8.716,None,None,7.818,7.646,7.514,7.407,7.316,7.047,
